TABLE CalTimeCalib 123680
# corrections to  CalTimeCalib cid= XXX, to be subtracted 
# sipmid     dT      sigma      chi2
 2543      0.000     0.000    -1.000
 2544      0.000     0.000    -1.000
 2545      0.000     0.000    -1.000
 2546      0.000     0.000    -1.000
 2547      0.000     0.000    -1.000
 2548      0.000     0.000    -1.000
 2549      0.000     0.000    -1.000
 2550      0.000     0.000    -1.000
 2551      0.000     0.000    -1.000
 2552      0.000     0.000    -1.000
 2553      0.000     0.000    -1.000
 2554      0.000     0.000    -1.000
 2555      0.000     0.000    -1.000
 2556      0.000     0.000    -1.000
 2557      0.000     0.000    -1.000
 2558      0.000     0.000    -1.000
 2559      0.000     0.000    -1.000
 2560      0.000     0.000    -1.000
 2561      0.000     0.000    -1.000
 2562      0.000     0.000    -1.000
 2563      0.000     0.000    -1.000
 2564      0.000     0.000    -1.000
 2565      0.000     0.000    -1.000
 2566      0.000     0.000    -1.000
 2567      0.000     0.000    -1.000
 2568      0.000     0.000    -1.000
 2569      0.000     0.000    -1.000
 2570      0.000     0.000    -1.000
 2571      0.000     0.000    -1.000
 2572      0.000     0.000    -1.000
 2573      0.000     0.000    -1.000
 2574      0.000     0.000    -1.000
 2575      0.000     0.000    -1.000
 2576      0.000     0.000    -1.000
 2577      0.000     0.000    -1.000
 2578      0.000     0.000    -1.000
 2579      0.000     0.000    -1.000
 2580      0.000     0.000    -1.000
 2581      0.000     0.000    -1.000
 2582      0.000     0.000    -1.000
 2583      0.000     0.000    -1.000
 2584      0.000     0.000    -1.000
 2585      0.000     0.000    -1.000
 2586      0.000     0.000    -1.000
 2587      0.000     0.000    -1.000
 2588      0.000     0.000    -1.000
 2589      0.000     0.000    -1.000
 2590      0.000     0.000    -1.000
 2591      0.000     0.000    -1.000
 2592      0.000     0.000    -1.000
 2593      0.000     0.000    -1.000
 2594      0.000     0.000    -1.000
 2595      0.000     0.000    -1.000
 2596      0.000     0.000    -1.000
 2597      0.000     0.000    -1.000
 2598     -4.333     6.992     0.229
 2599      0.000     0.000    -1.000
 2600      0.000     0.000    -1.000
 2601      0.000     0.000    -1.000
 2602      0.000     0.000    -1.000
 2603      0.000     0.000    -1.000
 2604      0.000     0.000    -1.000
 2605      0.000     0.000    -1.000
 2606      0.000     0.000    -1.000
 2607      0.000     0.000    -1.000
 2608      0.000     0.000    -1.000
 2609      0.000     0.000    -1.000
 2610      0.000     0.000    -1.000
 2611      0.000     0.000    -1.000
 2612    -11.909     4.209     0.261
 2613    -12.500     3.840     0.183
 2614      0.000     0.000    -1.000
 2615      0.000     0.000    -1.000
 2616      0.000     0.000    -1.000
 2617      0.000     0.000    -1.000
 2618      0.000     0.000    -1.000
 2619      0.000     0.000    -1.000
 2620      0.000     0.000    -1.000
 2621      0.000     0.000    -1.000
 2622      0.000     0.000    -1.000
 2623      0.000     0.000    -1.000
 2624      0.000     0.000    -1.000
 2625      0.000     0.000    -1.000
 2626      0.000     0.000    -1.000
 2627      0.000     0.000    -1.000
 2628      0.000     0.000    -1.000
 2629      0.000     0.000    -1.000
 2630      0.000     0.000    -1.000
 2631      0.000     0.000    -1.000
 2632      0.000     0.000    -1.000
 2633      0.000     0.000    -1.000
 2634      0.000     0.000    -1.000
 2635      0.000     0.000    -1.000
 2636      0.000     0.000    -1.000
 2637      0.000     0.000    -1.000
 2638      0.000     0.000    -1.000
 2639      0.000     0.000    -1.000
 2640      0.000     0.000    -1.000
 2641      0.000     0.000    -1.000
 2642      0.000     0.000    -1.000
 2643      0.000     0.000    -1.000
 2644      0.000     0.000    -1.000
 2645      0.000     0.000    -1.000
 2646      0.000     0.000    -1.000
 2647      0.000     0.000    -1.000
 2648      0.000     0.000    -1.000
 2649      0.000     0.000    -1.000
 2650      0.000     0.000    -1.000
 2651      0.000     0.000    -1.000
 2652      0.000     0.000    -1.000
 2653      0.000     0.000    -1.000
 2654      0.000     0.000    -1.000
 2655      0.000     0.000    -1.000
 2656      0.000     0.000    -1.000
 2657      0.000     0.000    -1.000
 2658      0.000     0.000    -1.000
 2659      0.000     0.000    -1.000
 2660      0.000     0.000    -1.000
 2661      0.000     0.000    -1.000
 2662      0.000     0.000    -1.000
 2663      0.000     0.000    -1.000
 2664      0.000     0.000    -1.000
 2665      0.000     0.000    -1.000
 2666      0.000     0.000    -1.000
 2667      0.000     0.000    -1.000
 2668      0.000     0.000    -1.000
 2669      0.000     0.000    -1.000
 2670      0.000     0.000    -1.000
 2671      0.000     0.000    -1.000
 2672      0.000     0.000    -1.000
 2673      0.000     0.000    -1.000
 2674      0.000     0.000    -1.000
 2675      0.000     0.000    -1.000
 2676      0.000     0.000    -1.000
 2677      0.000     0.000    -1.000
 2678      0.000     0.000    -1.000
 2679      0.000     0.000    -1.000
 2680      0.000     0.000    -1.000
 2681      0.000     0.000    -1.000
 2682      0.000     0.000    -1.000
 2683      0.000     0.000    -1.000
 2684      0.000     0.000    -1.000
 2685      0.000     0.000    -1.000
 2686      0.000     0.000    -1.000
 2687      0.000     0.000    -1.000
 2688      0.000     0.000    -1.000
 2689      0.000     0.000    -1.000
 2690    -12.231     4.868     0.194
 2691    -11.615     4.858     0.250
 2692      0.000     0.000    -1.000
 2693      0.000     0.000    -1.000
 2694     -5.923     5.239     0.327
 2695      0.000     0.000    -1.000
 2696      0.000     0.000    -1.000
 2697      0.000     0.000    -1.000
 2698      0.000     0.000    -1.000
 2699      0.000     0.000    -1.000
 2700      0.000     0.000    -1.000
 2701      0.000     0.000    -1.000
 2702      0.000     0.000    -1.000
 2703      0.000     0.000    -1.000
 2704      0.000     0.000    -1.000
 2705      0.000     0.000    -1.000
 2706      0.000     0.000    -1.000
 2707      0.000     0.000    -1.000
 2708      0.000     0.000    -1.000
 2709      0.000     0.000    -1.000
 2710      0.000     0.000    -1.000
 2711      0.000     0.000    -1.000
 2712      0.000     0.000    -1.000
 2713      0.000     0.000    -1.000
 2714      0.000     0.000    -1.000
 2715      0.000     0.000    -1.000
 2716      0.000     0.000    -1.000
 2717      0.000     0.000    -1.000
 2718      0.000     0.000    -1.000
 2719      0.000     0.000    -1.000
